Date,Operating_Income,Expenses,Assets,Liabilities,Equity,Revenue,Cash_Flow,Net_Income,Debt_to_Equity,ROA,Profit_Margin,Interest_Expense,Tax_Expense,Dividend_Payout
2015-01-01,4370861.07,3682573.85,136340296.1,149429583.3,59803407.08,9435946.42,1428845.2,688287.22,2.5,0.01,0.07,609472.14,1042103.16,1170151.42
2015-01-02,9556428.76,1186425.69,195517203.0,47250517.76,55281922.53,12470620.28,1029017.28,8370003.06,0.85,0.04,0.67,699770.11,1329539.73,492998.93
2015-01-03,7587945.48,3093297.62,151995381.0,175658980.1,27447676.11,11882092.09,7320721.28,4494647.86,6.4,0.03,0.38,337977.34,345091.11,1603358.92
2015-01-04,6387926.36,3230217.71,209748337.6,138262648.1,87293509.41,4000698.76,1925965.75,3157708.65,1.58,0.02,0.79,1345468.95,1316373.62,426566.77
2015-01-05,2404167.76,2408588.02,81240729.24,277305843.1,70924670.47,3940243.11,6659376.16,-4420.26,3.91,0.0,0.0,175614.54,136655.3,2808563.51
2015-01-06,2403950.68,3813999.06,283576905.9,250196114.8,85411753.74,5486266.78,4584731.53,-1410048.38,2.93,0.0,-0.26,1235596.44,1338468.96,632380.92
2015-01-07,1522752.51,4704651.57,80425653.62,158545616.7,87288785.14,6693971.44,1083923.9,-3181899.06,1.82,-0.04,-0.48,1752422.18,527156.98,833020.99
2015-01-08,8795585.31,4665058.31,410160428.5,102799170.6,77352026.83,7309922.56,7665861.44,4130527.0,1.33,0.01,0.57,1792581.08,506152.07,1279245.93
2015-01-09,6410035.11,2528777.17,155170436.9,395453667.1,49528954.11,10836063.82,2352208.75,3881257.93,7.98,0.03,0.36,953171.74,792528.44,1211176.96
2015-01-10,7372653.2,1009571.21,293005361.6,192520616.1,64949207.95,2736845.62,6947340.09,6363081.99,2.96,0.02,2.32,972677.01,1414000.77,2404522.39
2015-01-11,1185260.45,4931785.4,446035589.4,281544209.6,24432886.55,2450745.15,1766075.04,-3746524.95,11.52,-0.01,-1.53,246241.45,119282.98,1423318.78
2015-01-12,9729188.67,4275041.39,342894816.1,73410127.68,70628087.57,7094837.32,6904571.62,5454147.28,1.04,0.02,0.77,1374453.55,560734.91,595227.95
