Fecha,Ingreso_Total,Gastos_Operativos,Ingreso_Operativo,Gastos_Financieros,Impuestos,Ingreso_Neto,Dividendos,Activos,Pasivos,Patrimonio_Neto,Flujo_Efectivo,Ratio_deuda_patrimonio,ROA,Margen_Utilidad
2015-01-01,9435946.42,3682573.85,4370861.07,609472.14,1042103.16,688287.22,1170151.42,136340296.1,209501197.07378653,59803407.08,1428845.2,2.5,0.01,0.07
2015-01-02,,1186425.69,9556428.76,699770.11,1329539.73,8370003.06,492998.93,195517203.0,47250517.76,55281922.53,1029017.28,0.85,0.04,0.67
2015-01-03,,3093297.62,7587945.48,337977.34,,4494647.86,1603358.92,151995381.0,175658980.1,,7320721.28,6.4,0.03,0.38
2015-01-04,4000698.76,3230217.71,,1345468.95,1316373.62,3157708.65,426566.77,209748337.6,138262648.1,87293509.41,1925965.75,1.58,0.02,0.79
2015-01-05,3940243.11,2408588.02,2404167.76,175614.54,136655.3,-4420.26,2808563.51,81240729.24,277305843.1,70924670.47,6659376.16,3.91,0.0,0.0
2015-01-06,5486266.78,3813999.06,2403950.68,1235596.44,1338468.96,-1410048.38,632380.92,283576905.9,250196114.8,85411753.74,4584731.53,2.93,0.0,-0.26
2015-01-07,6693971.44,4704651.57,1522752.51,1752422.18,527156.98,-3181899.06,833020.99,80425653.62,158545616.7,,1083923.9,1.82,-0.04,-0.48
2015-01-08,7309922.56,4665058.31,8795585.31,1792581.08,506152.07,4130527.0,,410160428.5,102799170.6,77352026.83,7665861.44,1.33,0.01,0.57
2015-01-09,10836063.82,2528777.17,6410035.11,953171.74,792528.44,2754910.734271937,1211176.96,155170436.9,395453667.1,49528954.11,2352208.75,,0.03,0.36
2015-01-10,2736845.62,1009571.21,7372653.2,972677.01,1414000.77,6363081.99,2404522.39,293005361.6,192520616.1,64949207.95,6947340.09,2.96,0.02,2.32
2015-01-11,2450745.15,4931785.4,1185260.45,246241.45,,-3746524.95,1423318.78,446035589.4,281544209.6,24432886.55,1766075.04,11.52,-0.01,-1.53
2015-01-12,7094837.32,4275041.39,9729188.67,1374453.55,560734.91,5454147.28,595227.95,342894816.1,73410127.68,70628087.57,6904571.62,1.04,0.02,0.77
2015-01-13,11063128.0,1060982.07,8491983.77,1660392.9,1292029.38,7431001.7,874908.7,289831004.0,204524085.9,26132793.02,599216.1,7.83,0.03,0.67
2015-01-14,4514659.46,4643788.47,2911052.0,564844.6,624278.99,-1732736.48,1576428.82,195950188.9,30463953.55,72455463.15,4338353.42,0.42,-0.01,-0.38
2015-01-15,10339558.26,4414533.63,2636424.7,900471.68,,-1778108.92,,199850860.9,212072944.8,30663834.47,6270819.35,6.92,-0.01,-0.17
2015-01-16,5377765.79,2834771.26,2650640.59,1693794.74,,-184130.67,1873801.46,351269129.8,386326614.7,20579617.01,,18.77,0.0,-0.03
2015-01-17,13519119.41,3160739.46,3738180.19,1766528.89,609051.13,577440.73,1740667.19,497362712.6,165998550.9,24875604.11,7319016.02,6.67,0.0,0.04
2015-01-18,13643969.28,2295512.17,5722807.88,562041.96,1377353.49,3427295.72,2172636.72,347827635.4,34818484.78,10179292.17,6647186.52,3.42,0.01,0.25
